000 025; 000 055; 030 055; 030 045; 070 045; 070 055; 100 055; 100 025; 070 025; 070 035; 030 035; 030 025;
000 025; 000 055; 030 055; 030 045; 070 045; 070 055; 100 055; 100 025; 070 025; 070 035; 030 035; 030 025;
000 025; 000 055; 030 055; 030 045; 070 045; 070 055; 100 055; 100 025; 070 025; 070 035; 030 035; 030 025;
000 040; 035 040; 035 100; 065 100; 065 040; 100 040; 050 000; 000 000; 000 000; 000 000; 000 000; 000 000;
000 040; 035 040; 035 100; 065 100; 065 040; 100 040; 050 000; 000 000; 000 000; 000 000; 000 000; 000 000;
000 040; 035 040; 035 100; 065 100; 065 040; 100 040; 050 000; 000 000; 000 000; 000 000; 000 000; 000 000;
000 050; 050 100; 100 050; 075 010; 050 035; 025 010; 000 000; 000 000; 000 000; 000 000; 000 000; 000 000;
000 050; 050 100; 100 050; 075 010; 050 035; 025 010; 000 000; 000 000; 000 000; 000 000; 000 000; 000 000;
000 050; 050 100; 100 050; 075 010; 050 035; 025 010; 000 000; 000 000; 000 000; 000 000; 000 000; 000 000;
000 050; 050 100; 100 050; 075 010; 050 035; 025 010; 000 000; 000 000; 000 000; 000 000; 000 000; 000 000;
000 050; 050 100; 100 050; 075 010; 050 035; 025 010; 000 000; 000 000; 000 000; 000 000; 000 000; 000 000;
000 050; 050 100; 100 050; 075 010; 050 035; 025 010; 000 000; 000 000; 000 000; 000 000; 000 000; 000 000;
