000 100; 100 100; 050 000; 000 000; 000 000; 000 000; 000 000; 000 000; 000 000; 000 000; 000 000; 000 000;
000 000; 000 100; 100 100; 100 000; 000 000; 000 000; 000 000; 000 000; 000 000; 000 000; 000 000; 000 000;
000 000; 000 060; 050 100; 100 060; 100 000; 000 000; 000 000; 000 000; 000 000; 000 000; 000 000; 000 000;
000 000; 000 100; 050 050; 100 100; 100 000; 000 000; 000 000; 000 000; 000 000; 000 000; 000 000; 000 000;
000 025; 000 075; 050 100; 100 075; 100 025; 050 000; 000 000; 000 000; 000 000; 000 000; 000 000; 000 000;
000 050; 050 100; 100 050; 075 010; 050 035; 025 010; 000 000; 000 000; 000 000; 000 000; 000 000; 000 000;
000 040; 035 040; 035 100; 065 100; 065 040; 100 040; 050 000; 000 000; 000 000; 000 000; 000 000; 000 000;
000 025; 025 050; 000 100; 050 070; 100 100; 075 050; 100 025; 065 025; 050 000; 035 025; 000 000; 000 000;
015 035; 035 035; 015 065; 035 065; 015 100; 085 100; 065 065; 085 065; 065 035; 085 035; 050 000; 000 000;
000 025; 000 055; 030 055; 030 045; 070 045; 070 055; 100 055; 100 025; 070 025; 070 035; 030 035; 030 025;
015 035; 035 035; 015 065; 035 065; 015 100; 085 100; 065 065; 085 065; 065 035; 085 035; 050 000; 000 000;
000 025; 000 055; 030 055; 030 045; 070 045; 070 055; 100 055; 100 025; 070 025; 070 035; 030 035; 030 025;
